,properties.TIPO,properties.RUTA,properties.ESTACION,lat,lon
0,SITREN,3,INDUSTRIA,20.672817290161124,-103.30464155535242
1,SITREN,3,FRANCISCO VILLA,20.673592845578607,-103.30723833819968
2,SITREN,3,DAMIAN CARMONA,20.67443088315786,-103.30997447805417
3,SITREN,3,SAN JUAN BOSCO,20.67554254452138,-103.31366150611001
4,SITREN,3,RITA PEREZ DE MORENO,20.676103225615126,-103.31550743703687
5,SITREN,3,RAMON BLANCARTE,20.67695472154787,-103.31824068951745
6,SITREN,3,PORFIRIO DIAZ,20.67803395605775,-103.32187486905272
7,SITREN,3,MERCADO DEL MAR,20.679035635620604,-103.32468500743843
8,SITREN,3,AQUILES SERDAN,20.678913861952633,-103.32681649026873
9,SITREN,3,SAN MARTIN,20.678794247507163,-103.32955460149894
10,SITREN,3,JUAN DIAZ COVARRUBIAS,20.67861799751998,-103.33344147341934
11,SITREN,3,CABAÃƒâ€˜AS,20.678399161539666,-103.33733053847355
12,SITREN,3,INDEPENDENCIA,20.678262942215913,-103.34001931841706
13,SITREN,3,PODER JUDICIAL,20.678134331230904,-103.34424668158958
14,SITREN,3,ROTONDA,20.67804362519523,-103.34739658021155
15,SITREN,3,MERCADO CORONA,20.677997645092134,-103.34888286794434
16,SITREN,3,CAPUCHINAS,20.677976864273717,-103.351248175608
17,SITREN,3,TEMPLO DEL CARMEN,20.674908827053155,-103.35336651241012
18,SITREN,3,JUAREZ,20.6748535102747,-103.35617689320901
19,SITREN,3,PARANINFO,20.67476764731912,-103.35932374378196
20,SITREN,3,ARGENTINA,20.6747158934604,-103.36132448920536
21,SITREN,3,CONSULADO,20.674563939048067,-103.36708410433305
22,SITREN,3,CHAPULTEPEC,20.674460116981155,-103.37042495892793
23,SITREN,1 y 3,AMERICAS,20.67436775466977,-103.37359712122313
24,SITREN,3,CLUB DE INDUSTRIALES,20.67433528106343,-103.37792120391349
25,SITREN,3,LOS ARCOS,20.674372540464454,-103.38385710969413
26,SITREN,3,MORELOS,20.676163613847127,-103.3847400129006
27,SITREN,3,SALADO ALVAREZ,20.676687141110044,-103.38136896208377
28,SITREN,3,FRANCISCO ROJAS,20.676697629104712,-103.37839149219751
29,SITREN,3,AURELIO L GALLARDO,20.676683084721844,-103.37594755510453
30,SITREN,3,AMERICAS,20.676759143840147,-103.3727301350576
31,SITREN,3,ESCUELA MILITAR,20.676813505837107,-103.36969966571131
32,SITREN,3,CHAPULTEPEC,20.676812739254714,-103.36866862179208
33,SITREN,3,GENERAL CORONADO,20.676870559673464,-103.36509022914137
34,SITREN,3,GREGORIO DAVILA,20.677030109094446,-103.360384146998
35,SITREN,3,JUAN N CUMPLIDO,20.67707004342443,-103.35850097190021
36,SITREN,3,FEDERALISMO,20.67714115899173,-103.35482724277374
37,SITREN,3,JESUS MARIA,20.677246204056846,-103.35126381851715
38,SITREN,3,LA MERCED,20.677314737392834,-103.34813037145942
39,SITREN,3,DEGOLLADO,20.67737344419806,-103.34431075316213
40,SITREN,3,INDEPENDENCIA,20.67751107810166,-103.34053140412719
41,SITREN,3,CABAÃƒâ€˜AS,20.677575420059412,-103.33773764589687
42,SITREN,3,MARIANO JIMENEZ,20.677679389706558,-103.33442683236841
43,SITREN,3,UGARTE LOYOLA,20.677764088595737,-103.33100847790415
44,SITREN,3,AQUILES SERDAN,20.677858967326543,-103.32761944045728
45,SITREN,3,MERCADO DEL MAR,20.677352215104566,-103.32338997835315
46,SITREN,3,PEDRO C NEGRETE,20.67675113571833,-103.3214463230562
47,SITREN,3,JOSE MARIA GOMEZ,20.675643218789816,-103.31779689105899
48,SITREN,3,RITA PEREZ DE MORENO,20.67480529573826,-103.31506105561616
49,SITREN,3,SAN JUAN BOSCO,20.674205267397546,-103.31309188227375
50,SITREN,3,RIVAS GUILLEN,20.673141049153294,-103.3095276595548
51,SITREN,3,FRANCISCO VILLA,20.672606386938295,-103.30771408112022
52,SITREN,3,FELIPE ANGELES,20.67179196457368,-103.30499633734884
53,MACROBUS,1,MIRADOR,20.738063263228415,-103.31194447963748
54,MACROBUS,1,HUENTITAN,20.732295408431785,-103.31367138497455
55,MACROBUS,1,ZOOLOGICO,20.727360927345632,-103.31517514230072
56,MACROBUS,1,INDEPENDENCIA NORTE,20.720898398065568,-103.31714479718035
57,MACROBUS,1,SAN PATRICIO,20.716326017934218,-103.31964733847136
58,MACROBUS,1,IGUALDAD,20.711685231280125,-103.3221650076296
59,MACROBUS,1,MONUMENTAL,20.70417233334823,-103.32626373438457
60,MACROBUS,1,MONTE OLIVETE,20.70026886120455,-103.32835419944944
61,MACROBUS,1,CIRCUNVALACION,20.6969285532832,-103.33010214370064
62,MACROBUS,1,CIENCIAS DE LA SALUD,20.68989339669816,-103.33395917498234
63,MACROBUS,1,JUAN ALVAREZ,20.684914470800347,-103.33655259319299
64,MACROBUS,1,ALAMEDA,20.68028305146269,-103.33901384085294
65,MACROBUS,1,SAN JUAN DE DIOS,20.67582235666621,-103.3414111865571
66,MACROBUS,1,BICENTENARIO,20.670528499782016,-103.34431727636554
67,MACROBUS,1,LA PAZ,20.666976865414526,-103.34622913830191
68,MACROBUS,1,NIÃƒâ€˜OS HEROES,20.663575668880924,-103.34805896774881
69,MACROBUS,1,AGUA AZUL,20.65831863941303,-103.35062876452469
70,MACROBUS,1,CIPRES,20.652862135389867,-103.35331715483073
71,MACROBUS,1,HEROES DE NACOZARI,20.64693642056269,-103.35264868850987
72,MACROBUS,1,LAZARO CARDENAS,20.64198501517054,-103.35197938097312
73,MACROBUS,1,EL DEAN,20.637941223036695,-103.35137399128035
74,MACROBUS,1,ZONA INDUSTRIAL,20.634586311670915,-103.35085674406969
75,MACROBUS,1,LOPEZ DE LEGAZPI,20.628064963405496,-103.3485729945637
76,MACROBUS,1,CLEMENTE OROZCO,20.622343124152664,-103.3466209097402
77,MACROBUS,1,ARTES PLASTICAS,20.61769231805783,-103.34428535373648
78,MACROBUS,1,ESCULTURAS,20.61188771551848,-103.34283156504137
79,MACROBUS,1,FRAY ANGELICO,20.608308029190464,-103.34289636680471
80,TREN LIGERO,2,TETLAN,20.659777855660977,-103.2758205003176
81,TREN LIGERO,2,LA AURORA,20.662464964325185,-103.2856118123188
82,TREN LIGERO,2,SAN JACINTO,20.663941517946295,-103.29806676465115
83,TREN LIGERO,2,SAN ANDRES,20.665267886776356,-103.30613118568975
84,TREN LIGERO,2,CRISTOBAL DE OÃƒâ€˜ATE,20.66749697208964,-103.3134444401627
85,TREN LIGERO,2,OBLATOS,20.67039471167712,-103.32306496849286
86,TREN LIGERO,2,BELISARIO DOMINGUEZ,20.6727197016475,-103.33150678411828
87,TREN LIGERO,2,SAN JUAN DE DIOS,20.67521754625801,-103.3411251517339
88,TREN LIGERO,2,PLAZA UNIVERSIDAD,20.675092136420886,-103.3480980096835
89,TREN LIGERO,2,JUAREZ,20.67488050259005,-103.35535875218653
90,TREN LIGERO,1,PERIFERICO NORTE,20.73080571093873,-103.35227274413093
91,TREN LIGERO,1,DERMATOLOGICO,20.721076857317353,-103.35334045934661
92,TREN LIGERO,1,ATEMAJAC,20.71613703190245,-103.35447614741513
93,TREN LIGERO,1,DIVISION DEL NORTE,20.707460354408557,-103.3553416881471
94,TREN LIGERO,1,AVILA CAMACHO,20.698196670975452,-103.35502888707198
95,TREN LIGERO,1,MEZQUITAN,20.69197917680192,-103.35401141054639
96,TREN LIGERO,1,REFUGIO,20.681992946810077,-103.35403153772475
97,TREN LIGERO,1,MEXICALTZINGO,20.66691139935615,-103.35534137068538
98,TREN LIGERO,1,WASINGTON,20.659266398807173,-103.35922698928786
99,TREN LIGERO,1,SANTA FILOMENA,20.654152182439468,-103.36374190566492
100,TREN LIGERO,1,UNIDAD DEPORTIVA,20.647316472079495,-103.36915246713708
101,TREN LIGERO,1,URDANETA,20.64304237246696,-103.37277349633246
102,TREN LIGERO,1,18 DE MARZO,20.637913275059578,-103.37706818861938
103,TREN LIGERO,1,ISLA RAZA,20.63264543571894,-103.38066152083125
104,TREN LIGERO,1,PATRIA SUR,20.62661991134645,-103.38509082674072
105,TREN LIGERO,1,ESPAÃƒâ€˜A,20.621042833306863,-103.38974656222288
106,TREN LIGERO,1,SANTUARIO MARTIRES DE CRISTO REY,20.613690502931014,-103.39569469918808
107,TREN LIGERO,1,PERIFERICO SUR,20.607053009099914,-103.40144602604073
108,SITREN,1,GREGORIO DAVILA,20.6747158934604,-103.36132448920536
109,SITREN,1,GENERAL CORONADO,20.67461899304272,-103.36501373400434
110,SITREN,1,CHAPULTEPEC,20.674521755849536,-103.36844000722914
111,SITREN,1,PEREZ VERDIA,20.67433530078708,-103.37717176601537
112,SITREN,1,V SALADO ALVAREZ,20.674357765526338,-103.38114732387015
113,SITREN,1,LOPEZ MATEOS,20.674396926216772,-103.3857907384244
114,SITREN,1,MINERVA,20.674425657107406,-103.3888919678468
115,SITREN,1,JUAN PALOMAR Y ARIAS,20.67442772312263,-103.39334894433983
116,SITREN,1,LA GRAN PLAZA,20.67501569319483,-103.40324936037483
117,SITREN,1,CAMARA DEL COMERCIO,20.676100432048962,-103.40827642822607
118,SITREN,1,PATRIA PONIENTE,20.678946414495957,-103.42142547728022
119,SITREN,1,PLAZA GALERIAS,20.6804466959534,-103.42861182796057
120,SITREN,1,STA MARIA DEL PUEBLITO,20.6815876334687,-103.43375620477802
121,SITREN,1,JOCOTAN,20.68298646515399,-103.4393896719505
122,SITREN,1,CIUDAD GRANJA,20.685412837581328,-103.4425884663197
123,SITREN,1,LOS PIRULES,20.688646678450795,-103.44670622212242
124,SITREN,1,FUNERAL COLONIAS,20.691737458811588,-103.45063339640633
125,SITREN,1,CONCENTRO,20.693986140959304,-103.45331800623086
126,SITREN,1,PERIFERICO PONIENTE,20.697480912880888,-103.45367085645206
127,SITREN,1,AVIACION,20.702044996373083,-103.46033485130256
128,TREN LIGERO,3,PERIFERICO ZAPOPAN,20.74113178788663,-103.40743842521717
129,TREN LIGERO,3,BELENES,20.735481514747235,-103.39952900890032
130,TREN LIGERO,3,MERCADO DEL MAR,20.728919888985892,-103.39022352048595
131,TREN LIGERO,3,BASILICA,20.721129904246922,-103.38729165247292
132,TREN LIGERO,3,PLAZA PATRIA,20.71223818068288,-103.37501329013062
133,TREN LIGERO,3,CIRCUNVALACION,20.705529669651078,-103.36456578934589
134,TREN LIGERO,3,FEDERALISMO,20.69937973791444,-103.35491674954599
135,TREN LIGERO,3,NORMAL,20.69524389069482,-103.34863636372414
136,TREN LIGERO,3,SANTUARIO,20.68357103754082,-103.34775778300644
137,TREN LIGERO,3,CATEDRAL,20.675788200314123,-103.34729092707485
138,TREN LIGERO,3,ANALCO,20.668990294645607,-103.3403460034211
139,TREN LIGERO,3,PLAZA DE LA BANDERA,20.665290017167017,-103.33308965508184
140,TREN LIGERO,3,CUCEI,20.658916097694895,-103.32300787239707
141,TREN LIGERO,3,PLAZA DE LA REVOLUCION,20.65026034591899,-103.30910653525444
142,TREN LIGERO,3,CENTRAL CAMIONERA,20.621747974952573,-103.28164405891842
143,TREN LIGERO,3,NODO REVOLUCION,20.631234225409752,-103.29554158732758
144,TREN LIGERO,3,RIO NILO,20.644761956996568,-103.30409527728474
